GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
helpdesk-spring,com.example.helpdeskspring.Service,TicketService,5,126,0,2,0,26,1,9,1,8
helpdesk-spring,com.example.helpdeskspring.Service,UsersService,5,71,0,0,0,16,1,5,1,5
helpdesk-spring,com.example.helpdeskspring.Service,EmployeeService,5,85,0,2,0,19,1,7,1,6
helpdesk-spring,com.example.helpdeskspring.Repository,DbInit,0,47,0,0,0,9,0,2,0,2
helpdesk-spring,com.example.helpdeskspring,HelpdeskSpringApplication,5,3,0,0,2,1,1,1,1,1
helpdesk-spring,com.example.helpdeskspring.Model,Severity,0,44,0,0,0,5,0,1,0,1
helpdesk-spring,com.example.helpdeskspring.Model,Ticket,0,78,0,0,0,30,0,16,0,16
helpdesk-spring,com.example.helpdeskspring.Model,Role,24,0,0,0,3,0,1,0,1,0
helpdesk-spring,com.example.helpdeskspring.Model,Employee,7,98,0,0,3,34,2,16,2,16
helpdesk-spring,com.example.helpdeskspring.Model,Status,0,44,0,0,0,5,0,1,0,1
helpdesk-spring,com.example.helpdeskspring.Model,Users,14,43,2,0,3,19,2,10,1,10
helpdesk-spring,com.example.helpdeskspring.Model,Department,0,44,0,0,0,5,0,1,0,1
helpdesk-spring,com.example.helpdeskspring.Security,SecurityConfiguration,0,117,0,0,0,20,0,5,0,5
helpdesk-spring,com.example.helpdeskspring.Security,UserPrincipal,45,0,0,0,15,0,9,0,9,0
helpdesk-spring,com.example.helpdeskspring.Security,UserPrincipalDetailsService,12,6,0,0,3,3,1,1,1,1
helpdesk-spring,com.example.helpdeskspring.Controller,UserController,0,35,0,0,0,8,0,5,0,5
helpdesk-spring,com.example.helpdeskspring.Controller,EmployeeController,0,47,0,0,0,10,0,6,0,6
helpdesk-spring,com.example.helpdeskspring.Controller,TicketController,0,54,0,0,0,11,0,8,0,8
